"Test Connection","Tester la Connexion"
"Every hour","Toutes les heures"
"Every 6 hours","Toutes les 6 heures"
"Twice a day","Deux fois par jour"
"Once a day","Une fois par jour"
"Once a week","Une fois par semaine"
"Test in progress, please wait...","Test en cours, veuillez patienter..."
"Please fill in the bot token and chat ID first.","Veuillez d'abord remplir le token du bot et l'ID de chat."
"An error occurred while communicating with the server.","Une erreur est survenue lors de la communication avec le serveur."
"Bot token and chat ID are required.","Le token du bot et l'ID de chat sont requis."
"Test successful! A message has been sent to the Telegram chat.","Test réussi ! Un message a été envoyé au chat Telegram."
"Error: ","Erreur: "
"Invalid response from the Telegram API.","Réponse invalide de l'API Telegram."
"Telegram Error: ","Erreur Telegram: "
"Telegram Exception: ","Exception Telegram: "
"C0defusi0n Security Scanner","Scanner de Sécurité C0defusi0n"
"The security module has been successfully installed and is now configured to send notifications to this chat.","Le module de sécurité a été installé avec succès et est maintenant configuré pour envoyer des notifications à ce chat."
"Module version: ","Version du module: "
"Installation date: ","Date d'installation: "
"You will receive notifications if malicious code is detected on your Magento site.","Vous recevrez des notifications en cas de détection de code malveillant sur votre site Magento."
"Connection test successful","Test de connexion réussi"
"The C0defusi0n Security Scanner is correctly configured to send notifications to this chat.","Le Scanner de Sécurité C0defusi0n est correctement configuré pour envoyer des notifications à ce chat."
"SECURITY ALERT","ALERTE DE SÉCURITÉ"
"Details of suspicious elements","Détails des éléments suspects"
"Recommendations","Recommandations"
"Check and remove any detected malicious code","Vérifiez et supprimez tout code malveillant détecté"
"Update your administrator passwords","Mettez à jour vos mots de passe administrateur"
"Check access logs for any suspicious activity","Vérifiez les journaux d'accès pour toute activité suspecte"
"Make sure all modules and Magento are up to date","Assurez-vous que tous les modules et Magento sont à jour"
"This message was automatically generated by the C0defusi0n Security Scanner. For more information, please check the system logs or contact your system administrator.","Ce message a été généré automatiquement par le scanner de sécurité C0defusi0n. Pour plus d'informations, veuillez consulter les journaux système ou contacter votre administrateur système."
"Security Scanner","Scanner de Sécurité"
"General Configuration","Configuration Générale"
"Enable Scanner","Activer le Scanner"
"Scan Frequency","Fréquence de Scan"
"How often the scanner should run.","À quelle fréquence le scanner doit-il s'exécuter."
"Email Notifications","Notifications par Email"
"Enable Email Notifications","Activer les Notifications par Email"
"Email Sender","Expéditeur des Emails"
"Email Recipients","Destinataires des Emails"
"Separate multiple email addresses with commas.","Séparez plusieurs adresses email par des virgules."
"Send Clean Reports","Envoyer des Rapports Propres"
"Send a report even if no malicious code is detected.","Envoyer un rapport même si aucun code malveillant n'est détecté."
"Telegram Notifications","Notifications Telegram"
"Enable Telegram Notifications","Activer les Notifications Telegram"
"Telegram Bot Token","Token du Bot Telegram"
"The API token of your Telegram bot.","Le token API de votre bot Telegram."
"Telegram Chat ID","ID de Chat Telegram"
"Chat ID or comma-separated IDs where the bot should send notifications.","ID de chat ou IDs séparés par des virgules où le bot doit envoyer les notifications."
"Test Telegram Connection","Tester la connexion Telegram"
"Malicious Code Detection Patterns","Modèles de Détection de Code Malveillant"
"Custom Patterns","Modèles Personnalisés"
"Add your own regular expressions to detect malicious code. One pattern per line.","Ajoutez vos propres expressions régulières pour détecter le code malveillant. Un modèle par ligne."
"Security Alert","Alerte de Sécurité"
"Clean Security Report","Rapport de Sécurité Propre"
"[SECURITY] No issues detected on","[SÉCURITÉ] Aucun problème détecté sur"
"Store name","Nom du magasin"
"Scan date","Date du scan"
"Security Report","Rapport de Sécurité"
"SECURITY REPORT","RAPPORT DE SÉCURITÉ"
"The C0defusi0n Security Scanner has performed a complete scan of your site","Le scanner de sécurité C0defusi0n a effectué un scan complet de votre site"
"and has not detected any malicious code.","et n'a détecté aucun code malveillant."
"Scan Summary","Résumé du Scan"
"Scan date and time:","Date et heure du scan:"
"Status: No issues detected","État: Aucun problème détecté"
"Required action: None","Action requise: Aucune"
"Regular scans are an important part of your security strategy.","Les scans réguliers sont une partie importante de votre stratégie de sécurité."
